Proverb_Num,Author,Proverb
37,wayne gretzky,You miss 100 percent of the shots you don't take
38,bruce feirstein,The distance between insanity and genius is measured only by success
39,dolly parton,"The way I see it, if you want the rainbow, you gotta put up with the rain"
40,richard branson,"To me, business isn't about wearing suits or pleasing stockholders. It's about being true to yourself, your ideas and focusing on the essentials"
41,frank lloyd wright,"The longer I live, the more beautiful life becomes"
42,nathaniel hawthorne,"Happiness is a butterfly, which when pursued, is always beyond your grasp, but which, if you will sit down quietly, may alight upon you"
43,michael jordan,You must expect great things of yourself before you can do them
44,albert einstein,"If you can't explain it simply, you don't understand it well enough"
45,katie couric,"You can't please everyone, and you can't make everyone like you"
46,ray goforth,There are two types of people who will tell you that you cannot make a difference in this world: those who are afraid to try and those who are afraid you will succeed
47,neil armstrong,I believe every human has a finite number of heartbeats. I don't intend to waste any of mine
48,arthur ashe,Start where you are. Use what you have. Do what you can
49,mary kay ash,"Don't limit yourself. Many people limit themselves to what they think they can do. You can go as far as your mind lets you. What you believe, remember, you can achieve"
50,kevin kline,"People ask, 'What's the best role you've ever played?' The next one"
51,mark twain,The two most important days in your life are the day you are born and the day you find out why
52,thomas jefferson,"I find that the harder I work, the more luck I seem to have"
53,abraham lincoln,It often requires more courage to dare to do right than to fear to do wrong
54,robert collier,"Success is the sum of small efforts, repeated day-in and day-out"
55,audrey hepburn,"As you grow older, you will discover that you have two hands, one for helping yourself, the other for helping others"
56,thomas j. watson,"If you want to achieve excellence, you can get there today. As of this second, quit doing less-than-excellent work"
57,john quincy adams,"If your actions inspire others to dream more, learn more, do more, and become more, you are a leader"
58,michael john bobak,All progress takes place outside the comfort zone
59,oprah winfrey,"The more you praise and celebrate your life, the more there is in life to celebrate"
60,philippos,You may only succeed if you desire succeeding; you may only fail if you do not mind failing
61,colin powell,"A dream doesn't become reality through magic; it takes sweat, determination, and hard work"
62,pablo picasso,Only put off until tomorrow what you are willing to die having left undone
63,mark zuckerberg,"The biggest risk is not taking any risk... In a world that's changing really quickly, the only strategy that is guaranteed to fail is not taking risks"
64,earl nightingale,"We become what we think about most of the time, and that's the strangest secret"
65,eleanor roosevelt,Do one thing every day that scares you
66,vidal sassoon,The only place where success comes before work is in the dictionary
67,john d. rockefeller,Don't be afraid to give up the good to go for the great
68,steve jobs,"Your work is going to fill a large part of your life, and the only way to be truly satisfied is to do what you believe is great work. And the only way to do great work is to love what you do. If you haven't found it yet, keep looking. Don't settle. As with all matters of the heart, you'll know when you find it"
69,drew houston,Don't worry about failure; you only have to be right once
70,carl bard,"Though no one can go back and make a brand-new start, anyone can start from now and make a brand-new ending"
71,ralph waldo emerson,Nothing great was ever achieved without enthusiasm
72,mark twain,Twenty years from now you will be more disappointed by the things that you didn't do than by the ones you did do. So throw off the bowlines. Sail away from the safe harbor. Catch the trade winds in your sails. Explore. Dream. Discover
73,helen keller,Keep your face to the sunshine and you can never see the shadow
74,mark caine,The first step toward success is taken when you refuse to be a captive of the environment in which you first find yourself
75,mother teresa,One of the greatest diseases is to be nobody to anybody
76,z,"Identity is a prison you can never escape, but the way to redeem your past is not to run from it, but to try to understand it, and use it as a foundation to grow"
77,bruce lee,"The successful warrior is the average man, with laser-like focus"
78,jimmy spithill,Rarely have I seen a situation where doing less than the other guy is a good strategy
79,katharine hepburn,"If you always do what interests you, at least one person is pleased"
80,charles f. kettering,"Keep on going, and the chances are that you will stumble on something, perhaps when you are least expecting it. I never heard of anyone ever stumbling on something sitting down"
81,charlotte bronte,"I avoid looking forward or backward, and try to keep looking upward"
82,steve jobs,"You can't connect the dots looking forward; you can only connect them looking backward. So you have to trust that the dots will somehow connect in your future. You have to trust in something -- your gut, destiny, life, karma, whatever. This approach has never let me down, and it has made all the difference in my life"
83,kate winslet,"Life is short, and it is here to be lived"
84,pablo picasso,Everything you can imagine is real
85,barack obama,Change will not come if we wait for some other person or some other time. We are the ones we've been waiting for. We are the change that we seek
86,t. harv eker,"If you want to make a permanent change, stop focusing on the size of your problems and start focusing on the size of you"
87,jim rohn,Successful people do what unsuccessful people are not willing to do. Don't wish it were easier; wish you were better
88,george eliot,It is never too late to be what you might have been
89,steve wozniak,"If you love what you do and are willing to do what it takes, it's within your reach. And it'll be worth every minute you spend alone at night, thinking and thinking about what it is you want to design or build"
90,jane smiley,"In my experience, there is only one motivation, and that is desire. No reasons or principle contain it or stand against it"
91,deepak chopra,"In the midst of movement and chaos, keep stillness inside of you"
92,george bernard shaw,Success does not consist in never making mistakes but in never making the same one a second time
93,diane ackerman,I don't want to get to the end of my life and find that I lived just the length of it. I want to have lived the width of it as well
94,bill gates,"As we look ahead into the next century, leaders will be those who empower others"
95,francis chan,Our greatest fear should not be of failure... but of succeeding at things in life that don't really matter
96,oscar wilde,Be yourself. Everyone else is already taken
97,jim rohn,"If you don't design your own life plan, chances are you'll fall into someone else's plan. And guess what they have planned for you? Not much"
98,arianna huffington,But you have to do what you dream of doing even while you're afraid
99,mike gafka,"To be successful, you must accept all challenges that come your way. You can't just accept the ones you like"
100,stephen covey,Be patient with yourself. Self-growth is tender; it's holy ground. There's no greater investment
101,thomas a. edison,Many of life's failures are people who did not realize how close they were to success when they gave up
102,apj abdul kalam,"Don�t take rest after your first victory because if you fail in second, more lips are waiting to say that your first victory was just luck."
103,apj abdul kalam,"Dream, dream, dream. Dreams transform into thoughts and thoughts result in action."
104,apj abdul kalam,"To succeed in your mission, you must have single-minded devotion to your goal."
105,apj abdul kalam,"If you fail, never give up because FAIL means ""First Attempt In Learning""."
106,apj abdul kalam,Creativity is seeing the same thing but thinking differently
107,apj abdul kalam,Failure will never overtake me if my determination to succeed is strong enough.
108,apj abdul kalam,"All of us do not have equal talent. But , all of us have an equal opportunity to develop our talents."
109,swami vivekananda,The greatest religion is to be true to your own nature. Have faith in yourselves.
110,swami vivekananda,"Talk to yourself once in a day, otherwise you may miss meeting an intelligent person in this world."
111,swami vivekananda,"The great secret of true success, of true happiness, is this: the man or woman who asks for no return, the perfectly unselfish person, is the most successful.�"
112,swami vivekananda,"In a day, when you don't come across any problems - you can be sure that you are travelling in a wrong path"
113,swami vivekananda,"You have to grow from the inside out. None can teach you, none can make you spiritual. There is no other teacher but your own soul."
114,swami vivekananda,"Be the servant while leading. Be unselfish. Have infinite patience, and success is yours."
115,bruce lee,"I fear not the man who has practiced 10 000 kicks once, but I fear the man who has practiced one kick 10 000 times."
116,bruce lee,"A goal is not always meant to be reached, it often serves simply as something to aim at."
117,bruce lee,Knowing is not enough; We must apply. Willing is not enough; We must do.
118,bruce lee,"Mistakes are always forgivable, if one has the courage to admit them."
119,bruce lee,Defeat is a state of mind; No one is ever defeated until defeat has been accepted as a reality.
120,bruce lee,Those who are unaware they are walking in darkness will never seek the light.
121,bruce lee,"Do not pray for an easy life, pray for the strength to endure a difficult one."
122,bruce lee,"Absorb what is useful, discard what is not, add what is uniquely your own. "
123,bruce lee,To hell with circumstances; I create opportunities.
124,bruce lee,"If you always put limits on everything you do, physical or anything else, it will spread into your work and into your life. There are no limits. There are only plateaus, and you must not stay there, you must go beyond them."
